BIGG,Fingerprint
10fthf,1111111010111111101101011111111011011111111110110011001111101100110111101111110011111011110110111111110110011011101111101011101011111100101110110011101111111101111101111101110111111110111111110111011011101111111100110111101111111111011111101111101110111111111111111001110111011111101011110110111101111111111101111111001110111011011111111110111111000111110001110110101101110001011101111111111111111001111111111010111101111011000001111011011111111101011111111011111111110111110011101111111101110111111101101101011111111011011101101110011100111110111100110111111011111111100111111001111110101111100000001111111011001110100111111110011011111111111111111011111110111011000100111111111111101011110011001111101111111101111111011101111011010111111110101111101011110111111111101111101111011111111001111111111001111101111111101111110111111110011111111111100111100111110001101111101110111101110111101100111011111111111111101011111010100000111011111111110110110001110010110110011101111011111111100011011101010100111111101011111100111101
12ppd__R,0000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000010000000000000000000100000000000000000000000000000000000000000000000000000010000000000000000000000000000001000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000000000000000000000000000100000100000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000
12ppd__S,0000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000010000000000000000000100000000000000000000000000000000000000000000000000000010000000000000000000000000000001000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000000000000000000000000000100000100000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000
13dpg,0100000000000010000011000000001000001100000000000001001010000110010100100000010001010000000010100000001000000010000010100000011001000100100000000000000000000001000100011010101000010000000000000000000010010100010000000000010100000110001000000000000000000000000000000100110100000100000110000000010000000000000000000001100001000010000100101001010000010000001010100101100100000001000100000000100010000010010000000001010101100110010100000001000000001001000001110000100100000101000000000001001001000000000000000010000000000011000000000000000100000100100001001000001001100000010000011000000100000100001000000000001101000001000000010000000100000001100100010100010000000010010011000000000100011110000001000000000011000110000000000000100001000000000000000000100110101000010001100000001100010001010001100001111100000000011000100010001000010010101010010000000000100010000000001101010010100100010100000001000001001000000000000000100000000010010001000000000000000000100001000001000000101110000000000000011011000000001000000000000000010110
13ppd,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000000000000000000000000000100000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
15dap,0000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000100000000000000000000000000000100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000001000010000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000100000000000000000000000000000000000000100000000000000000000000000000000100010001000100000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000001
1agpe180,1110010000001001000111100100001000011100000000000001001010000100011000100000100001000001001010100100011000000110100000100110011001000100001000101000100000101001000100000011101000000001000010010000001010010001010000000000011110000100011001000001000001001100000000001000100000100100000110100100011000001001000010000001110001100110000000001001000000011110000000100001100100101001000000011000000010100010010000000001100100000010010000010001000100001001000000011000101000000100000100000000000000001100000010100010001010000010000001010000000101100100100001000100001100100000100000001000011000000001000000000100001100000010001001011010000100001001000100010000100100010010010001100000000100011100010100000111000011001100000000101000000000110000010000010000100110101000000001111001011100011011011001100101100100010000011000100000010000000010100000110000011001100100000100000000010010011000001100000101000100000011000000000100110000100000011010101000000011010000101001000000000000001100001001010000011001000001001000000000000000001001
1pyr5c,0000011000000011000000000010000000000000000001000011000000000100000000000001000001010010000000100000000000011000100001100000111001000000000000100000100000000001000000010010000000000010000000010000001110001000010000000100001010000100000000001110000000010000100000010000000100000001000010000100000000000001000000000101000000000000010000011000000000000010000000000001001100001000000100000100000000000000000000000100000000100000010001000010000100000000010000000000000001010000000000000000010000000000000100001000000000000001001001000000000000000000000000100000000000101000100000000100010000000001000000000100000000000000000001010000001000001100000000010010000010100000001000000100000100000000000000010000000010000110010000110000000010100100000000000010100010000000000000100000000000000110000001000101000000000000010010000000001000010000000000000000001001000000100000110000001001010100000110000001000000000001100000000000000000000000010001000001000010000100000000000000000000000001000000000000000001000100000000010000000000000001
23camp,1111111111101011101011111010111111111111111111110011011011111110111111111111111011111111011110111111111011111111101111111111111110011111111111111101111101111101111111111111101101111101110111111011111111111111111001110111111111101101111101001111101110111111011111111110011111111111111110101011111011011100101010101111111101111111111111101100110111111111111111111111110110111111101111111001111111110111111111011011111111111110110011110111101111111111110111111111111111011111111110011111101111111111111111111011101101111111100110011111001111111111111111101111111110111111101101111101111111000111111111101110101110110011101111101111111111111111111101111111111111110111100111101011111111011111110110111111111111111111111011101011011111111011111001111111101111111111111111101111111110111111111101110101111111111101111111111111111101111110111101111111111101111111111111011111111011111111011111011111110110111111011110111111111110111111011111111111111111111111111111110111111111111101101111111110111111111011111010011111111111111110
23ccmp,1111111111101111101011111010111111111111101111110001011111111100111101111111111011111010001111111111111011111111001011111111111111011111111111111101111111111101111111101110101101111101110011111011011111111101011000011110011111001111111111001111101100111111011111111010011111111101001111101111111101101110100010101011111101111111101111101101110011111111111001111101110111111011101111111001111111110011111111011011110111111110110010110111100111111111111101111111101101010110111110010110101101110111110011111011101101111111000111011111100111110111111111111111111100110111111101011001111111000111111111111110111110101011001111111111111111110111111101011011111111110111100111001011111111011111110110111101011111111110101011111011011111111011111001101011111101111111111011101111111110111011111101110101101110100111011111110111011111111110111111111111111010111111111110011110111011111111101101011101010111111111010110111100110110111111011011111111101011011111111111111111111111111100101111111110111101111001111011101111111101111111
23cgmp,1111111111101011101111011110111011111111111111110011011011111111111100111111111011111011111110111111111111111111101111111111111110011111111111111101111111111101011111111111111111111111110111111011111111111101111001110011111111101111111101101111100110111111111111111110011111111111111110101111111011111101111010101111111101101111101111101100110111111111111111111111111110111111101111111111111111110110111111011111111111111110110011111111111011111111111111111011111111111111110110011111111111111111111111111111101101111111101111011111101111110111111111101111111111111111111111111111111111001111111110111110101111111111101101111111111111111111111100111011111111110111100101101111111111111111110110110111111111111110111011111111101111111011111001111111101111111011111111101111111110111011111101111101111111111101011111111111111101111110111111111111111101111111111111111111111011111111111111011111110110111111011110111111110111111111011111111111111111111111111111110111111111111101101111111111111111111011111011111111111111111110
23cump,1111111111101111101011011010111111111111101111110001011111111100111101111111111111111010001111111111111011111111001011111111111111011111111111111101111111111101111110101110101101111101110011111011011010111101011000111010111111011101111101001111100100111111111111111110011111111101011111101111111101101110100010101011110101101111101110101101110011111111111001111101110111111011111111111001111111110011111111011011110111111110111010110111100111111111111101111111101111010110111110010110101101110111111011111011101101111111000110010111110111110111111111111111111100111111101101111001111111000111111110110110111111101111011111101111111111110111111100011010110111110111100111001011111111111111110110110101011111111110111011101011101111111011111001101011101111111111101111101111111110111011111101110101101110100111011111110111011111111110111111111111111010111111111110111110111011111111011101011101010111111111010110111100110110111111010011111111101011011111111111111111111101111100100111111110111101111011111011001111111101111111
23dappa,0000000000000001000000000000000000000000000000000001000000000000000000000000000001000000000000100000000000000000100000000000101001000000000000100000000000000001000000000000100010000000000000000000000010000000010000000000000000000000000000001100000000000000000000000000000000000001000010000000000000000000000000000001000000000000000000001000000000010000000000000000000000000000000000001100000000000000000000000000000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000000000000000101000000000000000000000000000001000000000000000000000100000010000001000000000000000000000000011000000000000000000000100000010000000000000000010000100000000000000000000000100001000000000100010000000000000100000000000000100000001000000000000000000010000000100000000000000000000000000000000000000000000000001000000000100000100000001000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000001000000000000100000000000000001
23ddhb,0000100110001010000001011000011001110111000100010001000011010111101100000010111011111110000010101001010001100011010000011010011011010010101000000101100000001001100011011110000000000101000000110000001011100001010000000001001011000110010000000011000000110000010011000000000101010100011111010100000000000001000110000001101101000011100010001011110000011100100100100100000100101100000000001000001000000001000000010001100000000001101010010010100101001001001001000000000100101011100000000000001000110001010011100111000000000010011000000000100000000010000000011110101101100010100010000111000101001000000100100100001100110010010001010000010100011100100000000000001111000010001000000100100100000000101100110011000010100100000011001010010000010001011001100001100010100000110010110010100100010100001101000101100000011000110001010011011000000010110000000100000001001000000000101000001000110001001100000011010000001001100000100100000000001101110000000100010010000001000000000001000101000000000000100000001101101000000010010000110000001000
23dhba,1111111110111111111111111110111110111111111111111011111011111110111111111111111011111111011111111111111111111111111111111111111110111111111111111101111111111101111111111111111101111001110111111111111111111111111101111111111101101101111101011111101110111011111110111110111111111111111111101011111111111100111011111111111111111111111111111101110111111111101101111111110101111101101111111101111111110111111111111001111111101110110111101111111111111101110111111111111111011111111101111111101111111101111111111011101111111110111110011111011111111111011111001111111110111111111101111111111011101111111111101111111110010011101111101111111111111111111101111111111101110111101111101011111111011111110110111111111111111111111011101011011111111011110101111111101111111111111111111111111100111111111101111101111111111101111110111011111101111111111101111111111111111111111111011111111111111111011111111111111111011111011111101111111111111111011111111111111111111111111111111111111111111111011111111111111111111111111010111111111111111111
23dhbzs,0110100000100101100101001110110000001101101001001011100011101110000100101100010011010010100110100111000110000101111000001011101011100000001111101000111000010101011100110110010010110000101010010011110011101000111000101010101000010011001100001100101110001110000000110010110010001110000011000001011000100010010001000011101110011010111101011111000101110100000001000110101110000001110010100101000011000011010100011010110001000000100100101010111101011101000101100111111011000011110011101000001011101001110000001000010001010100010101010100001001011000110110100100011001111010101000001011100100000001000000011100110010001000111001011010011101111111000011001000100011010101010101100001000110000001000000000101000011001100110010001111001010000101000100001010101010111000110001100000000010001110000001111001100000101000110110000110000111100010001001011110000011000111010000001100000010000110100111101000111001000000000000000010010001000101011000110000000000100010101100110000001000011001111101101010100001000010011101001000011100101101
23dhb,0010000000000100010100011100000000001000110001001001100000100010000000101000000010010000000111000110000100000001111000000000000010100000000100001100111010000000010100100010010000100000100000010011110010100100101100111010000000000000001000010000100100000001000000010010010000000110000001000001001100000000010001000111001010010010101101010001000000110100000000000110000100000000100000000101000011000011000101010000110001000000100101001000011111000101000000100001010011000001101001100000000011001000000000001000100001000000010000010100000000000000010110000100000000110000000000100010100001001000000000000101110010010000001000000100000100101000000000001000100101000101000000100001000000000000100000100100000010000000000010101010001110000011000100001000000000011001100001100100000000011110000000001001000100001000010100000000000001010011001001000010000011000011000000001101100010001010000101100000011100000000010000000010010001000001011001000000001010000010101000110000000010000010010000001010101100000000011000000000011010000001
23dhmb,1000000000000000000000000000000000000000000000000001000010000100100000000000010000000000000110100000000000000000000000000000010001000000100000101000000000001001000000000000010000000000010000010000000010000000010000000000001011000110000000000000000000000000100000000001000000000100000010000000010000000000000100001001100000000001000000101100010000000000000000001000000100001000000001000010000000001000000010000000000001100000000000100000100000001100000000000000000000000000000000000000000000010000000000100000000000000001000000000000000000000000000000001000000000100000100000100000000000000000000000000000000000000000010000010000000100000000100000000010000000000000000000000000000100000000100000000000000010010100000001000000011000000000000000000000100010101000010000100000000100000000000011000000100100010000010000000011000000010100000000000000010001001000000000000000000001010000011100000000000000001001000000000000010000000000010000000000010000000101000000000000000000000000000000000000001101000001000000000000010000010000
23dhmp,1000000000000000000000001100010000000000000100000001000010000100100000011000010000000000000110100000000000000000000000000000010001000000100000101000100000001001000000000000110000000000010000111000001011000000010000100000001011000110000000010000000000000000100000000001010100000100000010000100010000000101000100001001100000000001000000101100010000000100000000001000000100001000000001000010000000001000000010000000000001100000000000100000100100001100000000000000000000000000100000000000000000010000000000100000000000000001001000000000000000000000000000101000000000100000100000100000000000010001100000000000000000000000010001010000000100000000100000000010000000000010000000000000000100000000100000000000000010010100000001000000011000000000000000000001100010101000010010100000000100000000000011000101100100010000110000000011000000010110000000000100010001001000000000000000100001010000011100100000000000101011000000000100010000000000110000000000010010011101000000000000000000000010000000000000001101000001000000000000010000010000
23doguln,1000000000000011000000011010000000000000000100000001100010000101100000001000110000000000010110100101100001001100000010000000010001100000110000000000100000000001000001000100000001010000000000110000001010000000011000000001011011000100000000000000000000100000010011000001010100000100000010000100010000000001000000000001110000101000110000101011010000010110000000001000001100101001010000000000000100100001000011000101010000101000000010000000100110001000001000000000100100000000000000000000000100010110001000100010000000000000100000100000010100001000010010001000010000100000100010001001111011000001000000100100100000000011010000111001000110000100010000010000000101010110001000000000010100010000100000000000000010000101000000000000001001110000000000000001100010100001001010100000100000000101000011100101000110010000010000010011010001111010000000010000010001000001000000000000000000111000001100000010010000001011100110000100100000001010110100000000001010110100000001000100000000000010000001100010001001101100101000000000111010011100
25aics,1111111111111110101011111011111011111110110111111001011011111111111100111111111111111011101110101111011101111110101111111111111111011111111111101101111111101101111101101111101001111001110111111011011111111011111110110111111111011111110111001111110010111001111111101110011111111101101110111001111011101111101110101111110101110111111111111100110111011101101101111101110110111101101011111101111111110111110011011111111111110111110010100011101001111101110111011101101101110111111101011101111011110101110111111011111111111110101111011111110111111111011111101111111011111111111101111001111010100111111110100110001111100111000101111111101111111101111110110110111101100111101001101110011111111111110111111011110111101101100111111011101101110111110110111111111101111111101111101010111110110111111111110111111111111101011110111111111101111110110111111111111011111111111111110111110011111111101101111011010011111111111111110000111011110111000011111111111111110110111111111111111111111101110101110111111101111111111111101111111111111111
25dkglcn,1000000000000011000000011000000001000000000100000001000010000100100000000000110000000000010010100101100001000100000011000000000001100010100000000100100000000001000001001100000000010000000000110000001011000000011000000001001011000110000000100010010000101000010010000001010100000100000010000100010000000001000000000001100010000000111000101011010000010110000000000000000100111000010000001000000100100001000011000000000000110000000000000000100110001000001000000000100101000000100000000000000000010110000000100000000000000000100000100000000100001000000000001010011000100000100010101001010111000001000000100100100000000001010001110000000100000100010000000000000011010100000000000000010110000000100010000000000010000101000001000000001000110100000000000001100010100001011010100000100000000100000111100101000001010000010000011011000001011010000000010000010001001001000000000000000000011000001100000010000000001011100110000100000000000010110101000000000010011000000001000100000000000010000000000000001001001100000000000000110110011100
25drapp,1111110011111111001111011110111010101111101111110001011111010100111101101010110111110111110110111111011111111010110011110111111100101111101111111011101011111001111101001111101010100110001011111111011000011111011111111111111101111111111111111111101110110111111101101111110111111111111111111101111101111000110111111111111101110011111111111100111011011010011000111101111101111011110101110011111111111111111010101011100101011111011011011111110100101111011011111101111101111100110110110111110011110111111010101010111111101011101111111110000101101110011101100111111000111100100111101111011010111111100111001011101111111011101100111101111111110111111100111000111101110011101011101111111101111111010110111111100111101101011111011101111011111111011110111111101111101111111111011000111110111111111111100111111101011011111111111111111010001110110010111111111111111011101110001000111011111111011011011111001011111011111111101011111011110101111011111101110110011101111110111110011101001111101111110011111101110000111111100111110011111011
26dap_LL,0000000000000011000000000010000000000000000000000001100000000100000000000101000001000010000000100000000000001000100000000000101001000000000000100000100000001001001000000000000000000000000000010000001010000000010000000000001010000000000000001100001000000000100000000000010000000001000010000100000000000001000000000001000000000000010000011000000000000000000010000000000000100000000000000100000000000000000000000000000100000000000000000010000100000000010000000000001000001000000000000000010000000000000100000000000000000000001001000000010000000000000000000000000000101001100000000000000000000000000000000000000000000000000000010110001000001000000000010010000010000000000000000000000100000000000000000000000010000100000000000000000000100100000000000000100010000000000001100000010000000110010001000101000000010000010000010000000000000000000000000000011001000000000000000000000000011100000100000100000000000001100000000000000000000000010000000001000010000000000001010000000000000001000000000000000001000000000000000000010000001001
26dap__M,0000000000000011000000000010000000000000000000000001100000000100000000000101000001000010000000100000000000001000100000000000101001000000000000100000100000001001001000000000000000000000000000010000001010000000010000000000001010000000000000001100001000000000100000000000010000000001000010000100000000000001000000000001000000000000010000011000000000000000000010000000000000100000000000000100000000000000000000000000000100000000000000000010000100000000010000000000001000001000000000000000010000000000000100000000000000000000001001000000010000000000000000000000000000101001100000000000000000000000000000000000000000000000000000010110001000001000000000010010000010000000000000000000000100000000000000000000000010000100000000000000000000100100000000000000100010000000000001100000010000000110010001000101000000010000010000010000000000000000000000000000011001000000000000000000000000011100000100000100000000000001100000000000000000000000010000000001000010000000000001010000000000000001000000000000000001000000000000000000010000001001
2ahbut,0000000000000000000000000000000000000000010000010001000110000101000010001000010000000000010010100100100000100000010010000010000001100000100001000000100100001001001000000000010010000000010000110000001010000000011000100010001010010100001000010000000010000000000011000001000000000100001010000000010000000100000000000011000010100000000000101001010000000000100100000000001110000100000001001001000000000011000000000000000001100000000000000000000010001000010000000001100000000000000000000000000000110000100010000000000000000000000000101000000000000000000000001000000000100000100000100000110000010000000000000000001000001010000000110000000000000000100100010010000000000100000000000010000110000000000000000000001011000101000000000000000000001100000000000000100010100000001000100000000000000000000001000111100000010000010000000010000000000001000010010000000101001001000000000000010000010000011100000000010000101001000010001100010000100010011110000000010000110001000000000000000000000010000000000000001001000001100000000000001000010010
2amsa,0000000000000001000000000000000000000000000000000001000000010000000000000000010001000000000010100000000000000000100000000000101001000000000000100000000000000001000000000000000000000000000000000000000010000000011000000000000000000000000000001100000000000000100000000000000000001000000010000000000000000000000000000001000000000000000000001000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000001000000000000000000000000000001000000000000000000000000000000000000101000001000000000000000000000000000000000000000000010000000010000001000000000000000000000000010000000000000000000000100000000000000000000000010000100000000000000000000000100000000000000100010000000000000100000000000000000000001000000000000000000010000000000000000000000000000000000000000000000000000000000000000000100000100000000010000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000001000000000000000000001000000001
2aobut,0000000000000001100000000010000000000000000000000001000000010101000000000001010001000000000010100100000000000000100000000001101001100000000000100000000000000001000000000000000000000000000000010000000010000000011000000000001010000000000000001100000000000000100000000000000000001001000010000000000000000000000000000001000000000000000000011000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000010000000000000010000000000000000000000000000000000010000010001000000000000000000000000000001100000000000000001000000000000000000101000101000000000100000000000000000000000000000000010000000110000001000001000000000010000100010000000000000000000000100000001000000000000000010000100000000000000000000000100000000000000100010000000000000100000010000000100000001000001000000000000010000000000000000000000000000000000000001000000000000000000000000010100000100000000010000000001100000000100000000000000010000000000000000000000000000000000000000000000000000000000000001000000000000100000001000000001
2cpr5p,0111100000100101000011011110001000001100111100100011011010100101111000110001110011011001010111110111011111000010100000110000111001101101111100100100111001011011010100110010111001001000000111111111011010010110010100110011111111110101111100000000001101001111011011010101010110001101010111000000011100011010110001000111110001000010111100101111011011111101001010110111100110111001110101110101001110100111110111010101110100101010110000101111101001001001010000010100100100011111100010000101100000111100000101101010110001010010011001100100110100000100001101001111110000100000100101001001110000001000100011100100101110000010010000110100100100111011000100111001111111001110001001010011010101011101101101011010000011000110111001100001010010010011100100011001101101101010101111110001011100010111111011101101101111010001011111100011000010110011111000010011010010110011101001011100110011111111011111010001110100000011100110010110110001001101011101011000100011010010100100011010011011011111010100000010111101100100000000100010010000111001
