,gene_group,associated_uniprot_IDs,associated_reactions
1,b0241,P02932,12PPDRtex;12PPDStex;23CAMPtex;23CCMPtex;23CGMPtex;23CUMPtex;23DAPPAtex;26DAHtex;2DGLCtex;34dhpactex;3AMPtex;3CMPtex;3GMPtex;3HPPtex;3PEPTtex;3UMPtex;4ABZGLUtex;4HOXPACDtex;4PEPTtex;5DGLCNtex;5MTRtex;ABUTtex;ACACtex;ACALDtex;ACGAL1Ptex;ACGALtex;ACGAM1Ptex;ACGAtex;ACMANAtex;ACMUMtex;ACSERtex;ACtex;ADEtex;AGMtex;AI2tex;AKGtex;ALAALAtex;ALAtex;ALLTNtex;ALLtex;AMPtex;ANHGMtex;ARBTtex;ARBtex;ARGtex;ASCBtex;ASNtex;ASO3tex;ASPtex;BALAtex;BTNtex;BUTSO3tex;BUTtex;CA2tex;CD2tex;CGLYtex;CHLtex;CHTBStex;CITtex;CLBtex;CLtex;CMPtex;CMtex;CO2tex;COBALT2tex;CRNDtex;CRNtex;CS1tex;CSNtex;CU2tex;CUtex;CYANtex;CYNTtex;CYSDtex;CYSItex;CYStex;CYTDtex;DALAtex;DAMPtex;DAPtex;DCAtex;DCMPtex;DDGLCNtex;DGMPtex;DGSNtex;DHAtex;DIMPtex;DINStex;DMSOtex;DMStex;DOPAtex;DOXRBCNtex;DSERtex;DTMPtex;DUMPtex;D_LACtex;ETHAtex;ETHSO3tex;ETOHtex;F6Ptex;FADtex;FALDtex;FE2tex;FE3tex;FMNtex;FORtex;FRULYStex;FRUURtex;FRUtex;FUCtex;FUMtex;FUSAtex;Ftex;G1Ptex;G3PCtex;G3PEtex;G3PGtex;G3PItex;G3PStex;G6Ptex;GAL1Ptex;GALBDtex;GALCTNLtex;GALCTNtex;GALCTtex;GALTtex;GALURtex;GALtex;GAMAN6Ptex;GAMtex;GBBTNtex;GDPtex;GLCNtex;GLCRtex;GLCUR1Ptex;GLCURtex;GLCtex_copy2;GLNtex;GLUtex;GLYALDtex;GLYBtex;GLYC2Ptex;GLYC3Ptex;GLYCAtex;GLYCLTtex;GLYCtex;GLYtex;GMPtex;GSNtex;GTHOXtex;GTHRDtex;GTPtex;H2O2tex;H2Otex;H2Stex;H2tex;HCINNMtex;HG2tex;HIStex;HOMtex;HPPPNtex;HXAtex;HYXNtex;Htex;IDONtex;ILEtex;IMPtex;INDOLEtex;INSTtex;ISETACtex;Ktex;LALADGLUtex;LALALGLUtex;LCTStex;LEUtex;LIPOtex;LYStex;LYXtex;L_LACtex;MALDtex;MALtex;MAN6Ptex;MANGLYCtex;MANtex;MELIBtex;MEOHtex;MEPNtex;METDtex;METGLCURtex;METSOX1tex;METSOX2tex;METtex;MG2tex;MINCYCtex;MMETtex;MNLtex;MNtex;MOBDtex;MSO3tex;N2Otex;NACtex;NAtex;NH4tex;NI2tex;NMNtex;NO2tex;NO3tex;NOtex;O2Stex;O2tex;OCTAtex;ORNtex;OROTtex;PACALDtex;PEAMNtex;PHEtex;PItex;PNTOtex;PPALtex;PPAtex;PPPNtex;PPTtex;PROGLYtex;PROtex;PSCLYStex;PSERtex;PSURItex;PTRCtex;PYDAMtex;PYDXNtex;PYDXtex;PYRtex;QUIN2tex;R5Ptex;RIBtex;RMNtex;SBTtex;SELtex;SERtex;SKMtex;SLNTtex;SO2tex;SO3tex;SO4tex;SPMDtex;SUCCtex;SUCRtex;SULFACtex;TARTRDtex;TARTRtex;TAURtex;TCYNTtex;THMDtex;THMtex;THRPtex;THRtex;THYMtex;TMAOtex;TMAtex;TREtex;TRPtex;TSULtex;TTRCYCtex;TUNGStex;TYMtex;TYRPtex;TYRtex;UACGAMtex;UDPACGALtex;UDPGALtex;UDPGLCURtex;UDPGtex;UMPtex;URATEtex;URAtex;UREAtex;VALtex;XANtex;XMPtex;XTSNtex;XYLUtex;XYLtex;Zn2tex
2,b0929,P02931,12PPDRtex;12PPDStex;23CAMPtex;23CCMPtex;23CGMPtex;23CUMPtex;23DAPPAtex;26DAHtex;2DGLCtex;34dhpactex;3AMPtex;3CMPtex;3GMPtex;3HPPtex;3PEPTtex;3UMPtex;4ABZGLUtex;4HOXPACDtex;4PEPTtex;5DGLCNtex;5MTRtex;ABUTtex;ACACtex;ACALDtex;ACGAL1Ptex;ACGALtex;ACGAM1Ptex;ACGAtex;ACMANAtex;ACMUMtex;ACNAMtex;ACSERtex;ACtex;ADEtex;AGMtex;AI2tex;AKGtex;ALAALAtex;ALAtex;ALLTNtex;ALLtex;AMPtex;ANHGMtex;ARBTtex;ARBtex;ARGtex;ASCBtex;ASNtex;ASO3tex;ASPtex;BALAtex;BTNtex;BUTSO3tex;BUTtex;CA2tex;CD2tex;CGLYtex;CHLtex;CHTBStex;CITtex;CLBtex;CLtex;CMPtex;CMtex;CO2tex;COBALT2tex;CRNDtex;CRNtex;CS1tex;CSNtex;CU2tex;CUtex;CYANtex;CYNTtex;CYSDtex;CYSItex;CYStex;CYTDtex;DALAtex;DAMPtex;DAPtex;DCAtex;DCMPtex;DDGLCNtex;DGMPtex;DGSNtex;DHAtex;DIMPtex;DINStex;DMSOtex;DMStex;DOPAtex;DOXRBCNtex;DSERtex;DTMPtex;DUMPtex;DXYLONtex;D_LACtex;ETHAtex;ETHSO3tex;ETOHtex;F6Ptex;FADtex;FALDtex;FE2tex;FE3tex;FMNtex;FORtex;FRULYStex;FRUURtex;FRUtex;FUCtex;FUMtex;FUSAtex;Ftex;G1Ptex;G3PCtex;G3PEtex;G3PGtex;G3PItex;G3PStex;G6Ptex;GAL1Ptex;GALBDtex;GALCTNLtex;GALCTNtex;GALCTtex;GALTtex;GALURtex;GALtex;GAMAN6Ptex;GAMtex;GBBTNtex;GDPtex;GLCNtex;GLCRtex;GLCUR1Ptex;GLCURtex;GLCtex_copy2;GLNtex;GLUtex;GLYALDtex;GLYBtex;GLYC2Ptex;GLYC3Ptex;GLYCAtex;GLYCLTtex;GLYCtex;GLYtex;GMPtex;GSNtex;GTHOXtex;GTHRDtex;GTPtex;H2O2tex;H2Otex;H2Stex;H2tex;HCINNMtex;HG2tex;HIStex;HOMtex;HPPPNtex;HXAtex;HYXNtex;Htex;IDONtex;ILEtex;IMPtex;INDOLEtex;INSTtex;ISETACtex;Ktex;LALADGLUtex;LALALGLUtex;LCTStex;LEUtex;LIPOtex;LYStex;LYXtex;L_LACtex;MALDtex;MALtex;MAN6Ptex;MANGLYCtex;MANtex;MELIBtex;MEOHtex;MEPNtex;METDtex;METGLCURtex;METSOX1tex;METSOX2tex;METtex;MG2tex;MINCYCtex;MMETtex;MNLtex;MNtex;MOBDtex;MSO3tex;N2Otex;NACtex;NAtex;NH4tex;NI2tex;NMNtex;NO2tex;NO3tex;NOtex;O2Stex;O2tex;OCTAtex;ORNtex;OROTtex;PACALDtex;PEAMNtex;PHEtex;PItex;PNTOtex;PPALtex;PPAtex;PPPNtex;PPTtex;PROGLYtex;PROtex;PSCLYStex;PSERtex;PSURItex;PTRCtex;PYDAMtex;PYDXNtex;PYDXtex;PYRtex;QUIN2tex;R5Ptex;RIBtex;RMNtex;SBTtex;SELtex;SERtex;SKMtex;SLNTtex;SO2tex;SO3tex;SO4tex;SPMDtex;SUCCtex;SUCRtex;SULFACtex;TARTRDtex;TARTRtex;TAURtex;TCYNTtex;THMDtex;THMtex;THRPtex;THRtex;THYMtex;TMAOtex;TMAtex;TREtex;TRPtex;TSULtex;TTRCYCtex;TUNGStex;TYMtex;TYRPtex;TYRtex;UACGAMtex;UDPACGALtex;UDPGALtex;UDPGLCURtex;UDPGtex;UMPtex;URATEtex;URAtex;UREAtex;VALtex;XANtex;XMPtex;XTSNtex;XYLUtex;XYLtex;Zn2tex
3,b1377,P77747,12PPDRtex;12PPDStex;23CAMPtex;23CCMPtex;23CGMPtex;23CUMPtex;23DAPPAtex;26DAHtex;2DGLCtex;34dhpactex;3AMPtex;3CMPtex;3GMPtex;3HPPtex;3PEPTtex;3UMPtex;4ABZGLUtex;4HOXPACDtex;4PEPTtex;5DGLCNtex;5MTRtex;ABUTtex;ACACtex;ACALDtex;ACGAL1Ptex;ACGALtex;ACGAM1Ptex;ACGAtex;ACMANAtex;ACMUMtex;ACSERtex;ACtex;ADEtex;AGMtex;AI2tex;AKGtex;ALAALAtex;ALAtex;ALLTNtex;ALLtex;AMPtex;ANHGMtex;ARBTtex;ARBtex;ARGtex;ASCBtex;ASNtex;ASO3tex;ASPtex;BALAtex;BTNtex;BUTSO3tex;BUTtex;CA2tex;CD2tex;CGLYtex;CHLtex;CHTBStex;CITtex;CLBtex;CLtex;CMPtex;CMtex;CO2tex;COBALT2tex;CRNDtex;CRNtex;CS1tex;CSNtex;CU2tex;CUtex;CYANtex;CYNTtex;CYSDtex;CYSItex;CYStex;CYTDtex;DALAtex;DAMPtex;DAPtex;DCAtex;DCMPtex;DDGLCNtex;DGMPtex;DGSNtex;DHAtex;DIMPtex;DINStex;DMSOtex;DMStex;DOPAtex;DOXRBCNtex;DSERtex;DTMPtex;DUMPtex;DXYLONtex;D_LACtex;ETHAtex;ETHSO3tex;ETOHtex;F6Ptex;FADtex;FALDtex;FE2tex;FE3tex;FMNtex;FORtex;FRULYStex;FRUURtex;FRUtex;FUCtex;FUMtex;FUSAtex;Ftex;G1Ptex;G3PCtex;G3PEtex;G3PGtex;G3PItex;G3PStex;G6Ptex;GAL1Ptex;GALBDtex;GALCTNLtex;GALCTNtex;GALCTtex;GALTtex;GALURtex;GALtex;GAMAN6Ptex;GAMtex;GBBTNtex;GDPtex;GLCNtex;GLCRtex;GLCUR1Ptex;GLCURtex;GLCtex_copy2;GLNtex;GLUtex;GLYALDtex;GLYBtex;GLYC2Ptex;GLYC3Ptex;GLYCAtex;GLYCLTtex;GLYCtex;GLYtex;GMPtex;GSNtex;GTHOXtex;GTHRDtex;GTPtex;H2O2tex;H2Otex;H2Stex;H2tex;HCINNMtex;HG2tex;HIStex;HOMtex;HPPPNtex;HXAtex;HYXNtex;Htex;IDONtex;ILEtex;IMPtex;INDOLEtex;INSTtex;ISETACtex;Ktex;LALADGLUtex;LALALGLUtex;LCTStex;LEUtex;LIPOtex;LYStex;LYXtex;L_LACtex;MALDtex;MALtex;MAN6Ptex;MANGLYCtex;MANtex;MELIBtex;MEOHtex;MEPNtex;METDtex;METGLCURtex;METSOX1tex;METSOX2tex;METtex;MG2tex;MINCYCtex;MMETtex;MNLtex;MNtex;MOBDtex;MSO3tex;N2Otex;NACtex;NAtex;NH4tex;NI2tex;NMNtex;NO2tex;NO3tex;NOtex;O2Stex;O2tex;OCTAtex;ORNtex;OROTtex;PACALDtex;PEAMNtex;PHEtex;PItex;PNTOtex;PPALtex;PPAtex;PPPNtex;PPTtex;PROGLYtex;PROtex;PSCLYStex;PSERtex;PSURItex;PTRCtex;PYDAMtex;PYDXNtex;PYDXtex;PYRtex;QUIN2tex;R5Ptex;RIBtex;RMNtex;SBTtex;SELtex;SERtex;SKMtex;SLNTtex;SO2tex;SO3tex;SO4tex;SPMDtex;SUCCtex;SUCRtex;SULFACtex;TARTRDtex;TARTRtex;TAURtex;TCYNTtex;THMDtex;THMtex;THRPtex;THRtex;THYMtex;TMAOtex;TMAtex;TREtex;TRPtex;TSULtex;TTRCYCtex;TUNGStex;TYMtex;TYRPtex;TYRtex;UACGAMtex;UDPACGALtex;UDPGALtex;UDPGLCURtex;UDPGtex;UMPtex;URATEtex;URAtex;UREAtex;VALtex;XANtex;XMPtex;XTSNtex;XYLUtex;XYLtex;Zn2tex
4,b2215,P06996,12PPDRtex;12PPDStex;23CAMPtex;23CCMPtex;23CGMPtex;23CUMPtex;23DAPPAtex;26DAHtex;2DGLCtex;34dhpactex;3AMPtex;3CMPtex;3GMPtex;3HPPtex;3PEPTtex;3UMPtex;4ABZGLUtex;4HOXPACDtex;4PEPTtex;5DGLCNtex;5MTRtex;ABUTtex;ACACtex;ACALDtex;ACGAL1Ptex;ACGALtex;ACGAM1Ptex;ACGAtex;ACMANAtex;ACMUMtex;ACNAMtex;ACSERtex;ACtex;ADEtex;AGMtex;AI2tex;AKGtex;ALAALAtex;ALAtex;ALLTNtex;ALLtex;AMPtex;ANHGMtex;ARBTtex;ARBtex;ARGtex;ASCBtex;ASNtex;ASO3tex;ASPtex;BALAtex;BTNtex;BUTSO3tex;BUTtex;CA2tex;CD2tex;CGLYtex;CHLtex;CHTBStex;CITtex;CLBtex;CLtex;CMPtex;CMtex;CO2tex;COBALT2tex;CRNDtex;CRNtex;CS1tex;CSNtex;CU2tex;CUtex;CYANtex;CYNTtex;CYSDtex;CYSItex;CYStex;CYTDtex;DALAtex;DAMPtex;DAPtex;DCAtex;DCMPtex;DDGLCNtex;DGMPtex;DGSNtex;DHAtex;DIMPtex;DINStex;DMSOtex;DMStex;DOPAtex;DOXRBCNtex;DSERtex;DTMPtex;DUMPtex;DXYLONtex;D_LACtex;ETHAtex;ETHSO3tex;ETOHtex;F6Ptex;FADtex;FALDtex;FE2tex;FE3tex;FMNtex;FORtex;FRULYStex;FRUURtex;FRUtex;FUCtex;FUMtex;FUSAtex;Ftex;G1Ptex;G3PCtex;G3PEtex;G3PGtex;G3PItex;G3PStex;G6Ptex;GAL1Ptex;GALBDtex;GALCTNLtex;GALCTNtex;GALCTtex;GALTtex;GALURtex;GALtex;GAMAN6Ptex;GAMtex;GBBTNtex;GDPtex;GLCNtex;GLCRtex;GLCUR1Ptex;GLCURtex;GLCtex_copy2;GLNtex;GLUtex;GLYALDtex;GLYBtex;GLYC2Ptex;GLYC3Ptex;GLYCAtex;GLYCLTtex;GLYCtex;GLYtex;GMPtex;GSNtex;GTHOXtex;GTHRDtex;GTPtex;H2O2tex;H2Otex;H2Stex;H2tex;HCINNMtex;HG2tex;HIStex;HOMtex;HPPPNtex;HXAtex;HYXNtex;Htex;IDONtex;ILEtex;IMPtex;INDOLEtex;INSTtex;ISETACtex;Ktex;LALADGLUtex;LALALGLUtex;LCTStex;LEUtex;LIPOtex;LYStex;LYXtex;L_LACtex;MALDtex;MALtex;MAN6Ptex;MANGLYCtex;MANtex;MELIBtex;MEOHtex;MEPNtex;METDtex;METGLCURtex;METSOX1tex;METSOX2tex;METtex;MG2tex;MINCYCtex;MMETtex;MNLtex;MNtex;MOBDtex;MSO3tex;N2Otex;NACtex;NAtex;NH4tex;NI2tex;NMNtex;NO2tex;NO3tex;NOtex;O2Stex;O2tex;OCTAtex;ORNtex;OROTtex;PACALDtex;PEAMNtex;PHEtex;PItex;PNTOtex;PPALtex;PPAtex;PPPNtex;PPTtex;PROGLYtex;PROtex;PSCLYStex;PSERtex;PSURItex;PTRCtex;PYDAMtex;PYDXNtex;PYDXtex;PYRtex;QUIN2tex;R5Ptex;RIBtex;RMNtex;SBTtex;SELtex;SERtex;SKMtex;SLNTtex;SO2tex;SO3tex;SO4tex;SPMDtex;SUCCtex;SUCRtex;SULFACtex;TARTRDtex;TARTRtex;TAURtex;TCYNTtex;THMDtex;THMtex;THRPtex;THRtex;THYMtex;TMAOtex;TMAtex;TREtex;TRPtex;TSULtex;TTRCYCtex;TUNGStex;TYMtex;TYRPtex;TYRtex;UACGAMtex;UDPACGALtex;UDPGALtex;UDPGLCURtex;UDPGtex;UMPtex;URATEtex;URAtex;UREAtex;VALtex;XANtex;XMPtex;XTSNtex;XYLUtex;XYLtex;Zn2tex
5,b3011,Q46856,13PPDH2;ALDD2y;ALDD3y
6,b4032;b4033;b4034;b4035,P68183;P02916;P0AEX9;P68187,14GLUCANabcpp;MALTHXabcpp;MALTPTabcpp;MALTTRabcpp;MALTTTRabcpp;MALTabcpp
7,b4036,P02943,14GLUCANtexi;GLCtex_copy1;MALTHXtexi;MALTPTtexi;MALTTRtexi;MALTTTRtexi;MALTtexi
8,b3577;b3578;b3579,P37674;P37675;P37676,23DOGULNt4pp;XYLUt2pp
9,b4213,P08331,23PDE2pp;23PDE4pp;23PDE7pp;23PDE9pp;3NTD2pp;3NTD4pp;3NTD7pp;3NTD9pp
10,b2835,P39196,2AGPA120tipp;2AGPA140tipp;2AGPA141tipp;2AGPA160tipp;2AGPA161tipp;2AGPA180tipp;2AGPA181tipp;2AGPE120tipp;2AGPE140tipp;2AGPE141tipp;2AGPE160tipp;2AGPE161tipp;2AGPE180tipp;2AGPE181tipp;2AGPG120tipp;2AGPG140tipp;2AGPG141tipp;2AGPG160tipp;2AGPG161tipp;2AGPG180tipp;2AGPG181tipp
