,gene_group,associated_uniprot_IDs,associated_reactions
1,b3011,Q46856,13PPDH2;ALDD2y;ALDD3y
2,b4213,P08331,23PDE2pp;23PDE4pp;23PDE7pp;23PDE9pp;3NTD2pp;3NTD4pp;3NTD7pp;3NTD9pp
3,b2836,P31119,2AGPEAT120;2AGPEAT140;2AGPEAT141;2AGPEAT160;2AGPEAT161;2AGPEAT180;2AGPEAT181;2AGPGAT120;2AGPGAT140;2AGPGAT141;2AGPGAT160;2AGPGAT161;2AGPGAT180;2AGPGAT181
4,b4298,P39359,2DDARAA
5,b0268,P75682,2DDARAA
6,b3553,P37666,2DGULRGx;2DGULRGy;2DGULRx;2DGULRy;DKGLCNR2x;DKGLCNR2y;GLYCLTDx;GLYCLTDy;HPYRRx;HPYRRy
7,b3826,P27848,2DOXG6PP;E4PP;F6PP;G6PP;MN6PP;PYDXPP
8,b1727,P77247,2DOXG6PP;E4PP;GAPP;MN6PP
9,b2293,P77625,2DOXG6PP;E4PP;F1PP;F6PP;G1PP;G6PP;R5PP;RU5PP
10,b0446,P46891,2DOXG6PP;2MAHMP;ACP1_FMN;PYDXPP
11,b2989,Q46845,2HESR
12,b2302,P77526,2HESR
13,b1400,P77181,2HPTCOAT
14,b1134,P0AEI6,2MAHMP;NDP3;TDP
15,b1009,P75895,3AMACHYD
16,b0954,P0A6Q3,3HAD100;3HAD120;3HAD121;3HAD140;3HAD141;3HAD160;3HAD161;3HAD180;3HAD181;3HAD40;3HAD60;3HAD80;T2DECAI
17,b0180,P0A6Q6,3HAD100;3HAD120;3HAD121;3HAD140;3HAD141;3HAD160;3HAD161;3HAD180;3HAD181;3HAD40;3HAD60;3HAD80;OGMEACPD;OPMEACPD
18,b0597,P0A8Y8,3HBZCT
19,b0347,P77397,3HCINNMH;3HPPPNH
20,b1300,P23883,3HPADHi;GGGABADr
21,b3580,P37677,3KGK;XYLK2
22,b0383,P00634,3NTD2pp;3NTD4pp;3NTD4pp;3NTD7pp;3NTD9pp;ACP1p;G1PPpp;G2PPpp;NTD2pp;NTD4pp;NTD7pp;NTD9pp;PPTHpp;PSP_Lpp;PTHRpp;R5PPpp
23,b1093,P0AEK2,3OAR100;3OAR120;3OAR121;3OAR140;3OAR141;3OAR160;3OAR161;3OAR180;3OAR181;3OAR40;3OAR60;3OAR80;OGMEACPR;OPMEACPR
24,b2323,P0A953,3OAS100;3OAS120;3OAS121;3OAS140;3OAS141;3OAS160;3OAS161;3OAS180;3OAS60;3OAS80;KAS14;MACPD;OPMEACPS
25,b1095,P0AAI5,3OAS100;3OAS120;3OAS140;3OAS160;3OAS180;3OAS181;3OAS60;3OAS80;KAS14
26,b1397,P0C7L2,3OXCOAT
27,b3882,P0A9V8,3SLAR;GHBDHx
28,b1386,P46883,42A12BOOXpp;PEAMNOpp;TYROXDApp
29,b1337;b1338,P76052;P77357,4ABZGLUH
30,b0870,P75823,4HTHRA;ALATA_D2;ALATA_L2;THRA;THRA2
31,b0003,P00547,4HTHRK;HSK
32,b1192,P76008,4PCP;AGM4PCP;AM4PCP;UM4PCP
33,b2175,P0AFV4,4PCPpp;AGM4PCPpp;MDDEP1pp;MDDEP2pp;MDDEP3pp;MDDEP4pp
34,b4266,P0A9P9,5DGLCNR;5DKGR
35,b2842,P37769,5DKGR
36,b0159,P0AF12,5DOAN;AHCYSNS;MTAN
37,b3883,P32143,6D6SFK
38,b3881,P32141,6D6SPA
39,b3197,P45395,A5PISO
40,b2708,P17115,A5PISO
41,b1094;b2836,P0A6A8;P31119,AACPS1;AACPS2;AACPS3;AACPS4;AACPS5;AACPS6;AACPS7;AACPS8;AACPS9
42,b4481,P56258,AADDGT
43,b1927,P26612,AAMYL
44,b3571,P25718,AAMYLpp
45,b2901,Q46829,AB6PGH
46,b3721,P11988,AB6PGH;BGLA1
47,b2716,P24240,AB6PGH;BGLA1
48,b2662,P22256,ABTA;ACOTA;SDPTA
49,b1302,P50457,ABTA;ACOTA;SDPTA
50,b1444,P77674,ABUTD
51,b2221;b2222,P76458;P76459,ACACCT;BUTCT;HXCT
52,b1694,P37766,ACACCT
53,b2224,P76461,ACACT1r
54,b2342,P76503,ACACT1r;ACACT2r;ACACT3r;ACACT4r;ACACT5r;ACACT6r;ACACT7r;ACACT8r
