,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
b2690,ALKP,E4PP,F1PP,F6PP,GNP,PGMT,R5PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3821,PLIPA1A120pp,PLIPA1A140pp,PLIPA1A141pp,PLIPA1A160pp,PLIPA1A161pp,PLIPA1A180pp,PLIPA1A181pp,PLIPA1E120pp,PLIPA1E140pp,PLIPA1E141pp,PLIPA1E160pp,PLIPA1E161pp,PLIPA1E180pp,PLIPA1E181pp,PLIPA1G120pp,PLIPA1G140pp,PLIPA1G141pp,PLIPA1G160pp,PLIPA1G161pp,PLIPA1G180pp,PLIPA1G181pp,PLIPA2A120pp,PLIPA2A140pp,PLIPA2A141pp,PLIPA2A160pp,PLIPA2A161pp,PLIPA2A180pp,PLIPA2A181pp,PLIPA2E120pp,PLIPA2E140pp,PLIPA2E141pp,PLIPA2E160pp,PLIPA2E161pp,PLIPA2E180pp,PLIPA2E181pp,PLIPA2G120pp,PLIPA2G140pp,PLIPA2G141pp,PLIPA2G160pp,PLIPA2G161pp,PLIPA2G180pp,PLIPA2G181pp
b2920,PPCSCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2518,NDPK1,NDPK2,NDPK3,NDPK4,NDPK5,NDPK6,NDPK7,NDPK8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0003,4HTHRK,HSK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0002,ASPK,HSDy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3826,2DOXG6PP,E4PP,F6PP,G6PP,MN6PP,PYDXPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2925,FBA,FBA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0414,APRAUR,DHPPDA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3829,METS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1298,GGGABAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0417,TMPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0009,MPTAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3359,ACOTA,SDPTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4173,NTP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0004,THRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4177,ADSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1539,ATHRDHr,DSERDHr,LSERDHr,MSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1535,DGUNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2927,E4PD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2210,MDH2,MDH3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0521,CBMKr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0522,AIRC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0523,AIRC3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3730,G1PACT,UAGDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3607,SERAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0415,RBFSa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0529,MTHFC,MTHFD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0480,NTD10pp,NTD11pp,NTD12pp,NTD1pp,NTD2pp,NTD3pp,NTD4pp,NTD5pp,NTD6pp,NTD7pp,NTD8pp,NTD9pp,UACGALPpp,UACGAMPpp,UDPGALPpp,UDPGPpp,UGLCURPpp,,,,,,,,,,,,,,,,,,,,,,,,,
b0954,3HAD100,3HAD120,3HAD121,3HAD140,3HAD141,3HAD160,3HAD161,3HAD180,3HAD181,3HAD40,3HAD60,3HAD80,T2DECAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0418,PGPP120,PGPP120pp,PGPP140,PGPP140pp,PGPP141,PGPP141pp,PGPP160,PGPP160pp,PGPP161,PGPP161pp,PGPP180,PGPP180pp,PGPP181,PGPP181pp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2600,CHORM,PPND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2175,4PCPpp,AGM4PCPpp,MDDEP1pp,MDDEP2pp,MDDEP3pp,MDDEP4pp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2174,COLIPAKpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2913,AHGDx,ARHGDx,PGCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2173,NTP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3993,TMPPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0684;b4238,RNTR1c2,RNTR2c2,RNTR3c2,RNTR4c2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0312,BETALDHx,BETALDHy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3857,BMOGDS1,BMOGDS2,BWCOGDS1,BWCOGDS2,MOGDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3918,CDAPPA120,CDAPPA140,CDAPPA141,CDAPPA160,CDAPPA161,CDAPPA180,CDAPPA181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3850,PPPGO,PPPGO3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0315,CDGUNPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3774,DPR,KARA1,KARA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1897,TRE6PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2585,PSSA120,PSSA140,PSSA141,PSSA160,PSSA161,PSSA180,PSSA181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3916,PFK,PFK_2,PFK_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0008,TALA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0902;b0903;b2579,OBTFL,PFL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4474,FRULYSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2241;b2242;b2243,G3PD5,G3PD6,G3PD7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2463,ME2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4478,GALCTND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2103,HMPK1,PMPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2104,HETZK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2458,PTAr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3517,GLUDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3187,OCTDPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0757,GALKr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1430,TEO2M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1097,MLTGY1pp,MLTGY2pp,MLTGY3pp,MLTGY4pp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1096,ADCL,CHRPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1095,3OAS100,3OAS120,3OAS140,3OAS160,3OAS180,3OAS181,3OAS60,3OAS80,KAS14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1093,3OAR100,3OAR120,3OAR121,3OAR140,3OAR141,3OAR160,3OAR161,3OAR180,3OAR181,3OAR40,3OAR60,3OAR80,OGMEACPR,OPMEACPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1091,KAS15,OGMEACPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1872;b1873,DMSOR1pp,DMSOR2pp,TMAOR1pp,TMAOR2pp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1098,DTMPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3551;b3781,METSOXR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1800,IPMD,MALDDH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1850,EDA,OAADC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0972;b0973;b0974,HYD1pp,HYD2pp,HYD3pp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1025,DGUNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0134,MOHMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2779,ENO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3731;b3732;b3733;b3734;b3735;b3736;b3737;b3738;b3739,ATPS4rpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4213,23PDE2pp,23PDE4pp,23PDE7pp,23PDE9pp,3NTD2pp,3NTD4pp,3NTD7pp,3NTD9pp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1270,CBIAT,CBLAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1277,GTPCII2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1276,ACONTa,ACONTb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4214,BPNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0775,BTS5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0774,AMAOTr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0777,MALCOAMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3575,DOGULNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3572,VPAMTr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3571,AAMYLpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4358,GALCTLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0908,PSCVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0459,GLCATr,MALTATr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4352,NTP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2912,FOMETRi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3172,ARGSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1094;b2836,AACPS1,AACPS2,AACPS3,AACPS4,AACPS5,AACPS6,AACPS7,AACPS8,AACPS9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3176,PGAMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3177,DHPS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1764,SELNPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3867,CPPPGO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0894;b0895;b0896,DMSOR1,DMSOR2,TMAOR1,TMAOR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1651,LGTHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1655,MDDEP1pp,MDDEP2pp,MDDEP3pp,MDDEP4pp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1870,CXSAMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1656,SPODM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3073,PTRCTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1794,DGUNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0870,4HTHRA,ALATA_D2,ALATA_L2,THRA,THRA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0871,POX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3253,PCNO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2388,HEX1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4244;b4245,ASPCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3708,CYSDS,SERD_L,TRPAS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4131,LYSDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2202;b2203;b2206,NO3R2bpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0512,ALLTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3892;b3893;b3894,FDH4pp,FDH5pp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0514,GLYCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4139,ASPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0516,ALLTAMH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1479,ME1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1478,ALCD19,ALCD2x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1771,ALR2x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
