,gene_group,associated_uniprot_IDs,associated_reactions,associated_pdb,associated_cath_classes,associated_cath_domains,substrates,products
1,b3011,Q46856,13PPDH2;ALDD2y;ALDD3y,4qgs,1.20.1090.10.6.1.1.1.1.204;3.40.50.1970.5.1.1.1.1.169,4qgsA02;4qgsA01,nadph_c;nadp_c;13ppd_c;acald_c;ppal_c;h2o_c;h_c;3hppnl_c,nadph_c;ppa_c;nadp_c;13ppd_c;ac_c;h_c;3hppnl_c
2,b4213,P08331,23PDE2pp;23PDE4pp;23PDE7pp;23PDE9pp;3NTD2pp;3NTD4pp;3NTD7pp;3NTD9pp,,,,3cmp_p;3ump_p;23ccmp_p;23cgmp_p;23cump_p;3gmp_p;3amp_p;23camp_p;h2o_p,3cmp_p;3ump_p;h_p;uri_p;gsn_p;pi_p;3gmp_p;adn_p;3amp_p;cytd_p
3,b2836,P31119,2AGPEAT120;2AGPEAT140;2AGPEAT141;2AGPEAT160;2AGPEAT161;2AGPEAT180;2AGPEAT181;2AGPGAT120;2AGPGAT140;2AGPGAT141;2AGPGAT160;2AGPGAT161;2AGPGAT180;2AGPGAT181,,,,atp_c;2agpg160_c;2agpg161_c;2agpg140_c;2agpe141_c;ddca_c;2agpg141_c;ocdca_c;hdca_c;ocdcea_c;2agpg120_c;2agpg181_c;2agpe140_c;hdcea_c;2agpe181_c;2agpe120_c;2agpg180_c;2agpe180_c;ttdca_c;ttdcea_c;2agpe161_c;2agpe160_c,pg160_c;pg140_c;pg180_c;pe120_c;ppi_c;pe141_c;pe160_c;pg120_c;pg141_c;pe181_c;pg181_c;amp_c;pe161_c;pe180_c;pg161_c;pe140_c
4,b4298,P39359,2DDARAA,,,,gcald_c;pyr_c;2ddara_c,gcald_c;pyr_c;2ddara_c
5,b0268,P75682,2DDARAA,4oe7,3.20.20.70.115.1.1.1.1.298;3.20.20.70.115.1.1.1.2.298;3.20.20.70.115.1.1.1.3.298;3.20.20.70.115.1.1.1.4.298,4oe7A00;4oe7B00;4oe7C00;4oe7D00,gcald_c;pyr_c;2ddara_c,gcald_c;pyr_c;2ddara_c
6,b3553,P37666,2DGULRGx;2DGULRGy;2DGULRx;2DGULRy;DKGLCNR2x;DKGLCNR2y;GLYCLTDx;GLYCLTDy;HPYRRx;HPYRRy,,,,nadph_c;25dkglcn_c;nadh_c;2dhguln_c;glx_c;h_c;hpyr_c,glyclt_c;nadp_c;nad_c;glcn_c;idon__L_c;5dglcn_c;glyc__R_c
7,b3826,P27848,2DOXG6PP;E4PP;F6PP;G6PP;MN6PP;PYDXPP,,,,pydx5p_c;f6p_c;h2o_c;2doxg6p_c;e4p_c;g6p_c;man6p_c,fru_c;erthrs_c;pi_c;glc__D_c;man_c;pydx_c;2dglc_c
8,b1727,P77247,2DOXG6PP;E4PP;GAPP;MN6PP,1te2,1.10.150.240.15.1.1.1.1.70;1.10.150.240.15.1.1.2.1.70;3.40.50.1000.70.1.1.1.1.141;3.40.50.1000.70.1.1.2.1.141,1te2A02;1te2B02;1te2A01;1te2B01,h2o_c;2doxg6p_c;e4p_c;g3p_c;man6p_c,erthrs_c;pi_c;glyald_c;man_c;2dglc_c
9,b2293,P77625,2DOXG6PP;E4PP;F1PP;F6PP;G1PP;G6PP;R5PP;RU5PP,,,,g1p_c;f6p_c;h2o_c;2doxg6p_c;f1p_c;e4p_c;ru5p__D_c;g6p_c;r5p_c,rbl__D_c;fru_c;erthrs_c;pi_c;glc__D_c;rib__D_c;2dglc_c
10,b0446,P46891,2DOXG6PP;2MAHMP;ACP1_FMN;PYDXPP,,,,pydx5p_c;2mahmp_c;h2o_c;fmn_c;2doxg6p_c,ribflv_c;pi_c;4ampm_c;h_c;pydx_c;2dglc_c
11,b2989,Q46845,2HESR,3c8e,1.20.1050.10.73.1.1.1.1.157;1.20.1050.10.73.1.1.1.2.157;3.40.30.10.13.1.1.1.1.126;3.40.30.10.13.1.1.1.2.127,3c8eA02;3c8eB02;3c8eB01;3c8eA01,gthrd_c;dtgcl_c,gthox_c;mercpeth_c
12,b2302,P77526,2HESR,5hfk,1.20.1050.10.17.3.1.1.1.110;1.20.1050.10.17.3.1.1.2.110;3.40.30.10.126.1.1.1.1.97;3.40.30.10.126.1.1.1.2.95,5hfkA02;5hfkB02;5hfkA01;5hfkB01,gthrd_c;dtgcl_c,gthox_c;mercpeth_c
13,b1400,P77181,2HPTCOAT,,,,h2o_c;2hptcoa_c,coa_c;2hptcl_c
14,b1134,P0AEI6,2MAHMP;NDP3;TDP,4nfx,3.90.79.10.15.2.1.1.27.153;3.90.79.10.15.2.1.1.28.153;3.90.79.10.15.2.1.1.29.153;3.90.79.10.15.2.1.1.30.153;3.90.79.10.15.2.1.1.31.153;3.90.79.10.15.2.1.1.34.150;3.90.79.10.15.2.1.1.36.149;3.90.79.10.15.2.1.1.40.145,4nfxA00;4nfxC00;4nfxE00;4nfxF00;4nfxG00;4nfxD00;4nfxB00;4nfxH00,thmpp_c;h2o_c;2mahmp_c;gdp_c,thmmp_c;gmp_c;pi_c;4ampm_c;h_c
15,b1009,P75895,3AMACHYD,,,,h2o_c;h_c;3amac_c,msa_c;nh4_c
