,gene_group,associated_uniprot_IDs,associated_reactions,associated_pdb,associated_cath_classes,associated_cath_domains
1,b3011,Q46856,13PPDH2;ALDD2y;ALDD3y,4qgs,1.20.1090.10.6.1.1.1.1.204;3.40.50.1970.5.1.1.1.1.169,4qgsA02;4qgsA01
2,b4213,P08331,23PDE2pp;23PDE4pp;23PDE7pp;23PDE9pp;3NTD2pp;3NTD4pp;3NTD7pp;3NTD9pp,,,
3,b2836,P31119,2AGPEAT120;2AGPEAT140;2AGPEAT141;2AGPEAT160;2AGPEAT161;2AGPEAT180;2AGPEAT181;2AGPGAT120;2AGPGAT140;2AGPGAT141;2AGPGAT160;2AGPGAT161;2AGPGAT180;2AGPGAT181,,,
4,b4298,P39359,2DDARAA,,,
5,b0268,P75682,2DDARAA,4oe7,3.20.20.70.115.1.1.1.1.298;3.20.20.70.115.1.1.1.2.298;3.20.20.70.115.1.1.1.3.298;3.20.20.70.115.1.1.1.4.298,4oe7A00;4oe7B00;4oe7C00;4oe7D00
6,b3553,P37666,2DGULRGx;2DGULRGy;2DGULRx;2DGULRy;DKGLCNR2x;DKGLCNR2y;GLYCLTDx;GLYCLTDy;HPYRRx;HPYRRy,,,
7,b3826,P27848,2DOXG6PP;E4PP;F6PP;G6PP;MN6PP;PYDXPP,,,
8,b1727,P77247,2DOXG6PP;E4PP;GAPP;MN6PP,1te2,1.10.150.240.15.1.1.1.1.70;1.10.150.240.15.1.1.2.1.70;3.40.50.1000.70.1.1.1.1.141;3.40.50.1000.70.1.1.2.1.141,1te2A02;1te2B02;1te2A01;1te2B01
9,b2293,P77625,2DOXG6PP;E4PP;F1PP;F6PP;G1PP;G6PP;R5PP;RU5PP,,,
10,b0446,P46891,2DOXG6PP;2MAHMP;ACP1_FMN;PYDXPP,,,
11,b2989,Q46845,2HESR,3c8e,1.20.1050.10.73.1.1.1.1.157;1.20.1050.10.73.1.1.1.2.157;3.40.30.10.13.1.1.1.1.126;3.40.30.10.13.1.1.1.2.127,3c8eA02;3c8eB02;3c8eB01;3c8eA01
12,b2302,P77526,2HESR,5hfk,1.20.1050.10.17.3.1.1.1.110;1.20.1050.10.17.3.1.1.2.110;3.40.30.10.126.1.1.1.1.97;3.40.30.10.126.1.1.1.2.95,5hfkA02;5hfkB02;5hfkA01;5hfkB01
13,b1400,P77181,2HPTCOAT,,,
14,b1134,P0AEI6,2MAHMP;NDP3;TDP,4nfx,3.90.79.10.15.2.1.1.27.153;3.90.79.10.15.2.1.1.28.153;3.90.79.10.15.2.1.1.29.153;3.90.79.10.15.2.1.1.30.153;3.90.79.10.15.2.1.1.31.153;3.90.79.10.15.2.1.1.34.150;3.90.79.10.15.2.1.1.36.149;3.90.79.10.15.2.1.1.40.145,4nfxA00;4nfxC00;4nfxE00;4nfxF00;4nfxG00;4nfxD00;4nfxB00;4nfxH00
15,b1009,P75895,3AMACHYD,,,
16,b0954,P0A6Q3,3HAD100;3HAD120;3HAD121;3HAD140;3HAD141;3HAD160;3HAD161;3HAD180;3HAD181;3HAD40;3HAD60;3HAD80;T2DECAI,4keh,3.10.129.10.10.1.10.1.1.165;3.10.129.10.10.1.10.1.2.166,4kehB00;4kehA00
17,b0180,P0A6Q6,3HAD100;3HAD120;3HAD121;3HAD140;3HAD141;3HAD160;3HAD161;3HAD180;3HAD181;3HAD40;3HAD60;3HAD80;OGMEACPD;OPMEACPD,,,
18,b0597,P0A8Y8,3HBZCT,4k4c,3.10.129.10.3.4.1.1.1.137;3.10.129.10.3.4.1.1.2.137;3.10.129.10.3.4.1.1.3.137;3.10.129.10.3.4.1.1.4.137,4k4cA00;4k4cB00;4k4cC00;4k4cD00
19,b0347,P77397,3HCINNMH;3HPPPNH,,,
20,b1300,P23883,3HPADHi;GGGABADr,,,
21,b3580,P37677,3KGK;XYLK2,,,
22,b0383,P00634,3NTD2pp;3NTD4pp;3NTD4pp;3NTD7pp;3NTD9pp;ACP1p;G1PPpp;G2PPpp;NTD2pp;NTD4pp;NTD7pp;NTD9pp;PPTHpp;PSP_Lpp;PTHRpp;R5PPpp,3bdf,3.40.720.10.6.1.1.2.1.432;3.40.720.10.6.1.1.2.2.434,3bdfB00;3bdfA00
23,b1093,P0AEK2,3OAR100;3OAR120;3OAR121;3OAR140;3OAR141;3OAR160;3OAR161;3OAR180;3OAR181;3OAR40;3OAR60;3OAR80;OGMEACPR;OPMEACPR,1q7b,3.40.50.720.142.1.5.1.1.241;3.40.50.720.142.1.5.1.2.243;3.40.50.720.142.1.5.1.3.243;3.40.50.720.142.1.5.1.4.243,1q7bB00;1q7bA00;1q7bC00;1q7bD00
24,b2323,P0A953,3OAS100;3OAS120;3OAS121;3OAS140;3OAS141;3OAS160;3OAS161;3OAS180;3OAS60;3OAS80;KAS14;MACPD;OPMEACPS,2vba,3.40.47.10.11.2.1.1.1.254;3.40.47.10.11.2.1.1.2.254;3.40.47.10.11.2.1.1.3.254;3.40.47.10.11.2.1.1.4.254;3.40.47.10.20.2.1.1.1.147;3.40.47.10.20.2.1.1.2.145;3.40.47.10.20.2.1.1.3.145;3.40.47.10.20.2.1.1.4.145,2vbaA01;2vbaB01;2vbaC01;2vbaD01;2vbaC02;2vbaA02;2vbaB02;2vbaD02
25,b1095,P0AAI5,3OAS100;3OAS120;3OAS140;3OAS160;3OAS180;3OAS181;3OAS60;3OAS80;KAS14,3ho9,3.40.47.10.12.4.3.1.1.254;3.40.47.10.32.5.2.1.1.153,3ho9A01;3ho9A02
26,b1397,P0C7L2,3OXCOAT,,,
27,b3882,P0A9V8,3SLAR;GHBDHx,,,
